Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1998185,Here Comes Everybody: The Power of Organizing Without Organizations,Clay Shirky,"Shirky, Clay",,"=""1594201536""","=""9781594201530""",0,3.81,Penguin Press,Hardcover,336,2008,2008,,2009/12/11,"to-read, information-studies","to-read (#31), information-studies (#11)",to-read,,,,,,,0,,,,,
154341,Wikinomics: How Mass Collaboration Changes Everything,Don Tapscott,"Tapscott, Don",Anthony D. Williams,"=""1591841380""","=""9781591841388""",0,3.69,Penguin Group,Hardcover,324,2006,2006,,2009/12/11,"to-read, information-studies, business, economics","to-read (#30), information-studies (#10), business (#2), economics (#13)",to-read,,,,,,,0,,,,,
511205,An Exaltation of Larks: The Ultimate Edition,James Lipton,"Lipton, James",,"=""0140170960""","=""9780140170962""",3,4.02,Penguin Books,Paperback,336,1993,1968,2010/03/01,2009/12/11,library,library (#76),read,,,,,,,0,,,,,
2892674,Remix: Making Art and Commerce Thrive in the Hybrid Economy,Lawrence Lessig,"Lessig, Lawrence",,"=""1594201722""","=""9781594201721""",0,3.83,"Penguin Press HC, The",Hardcover,327,2008,2008,,2009/12/11,"to-read, law, intellectal-property-law","to-read (#29), law (#5), intellectal-property-law (#3)",to-read,,,,,,,0,,,,,
611053,Language in Mind: Advances in the Study of Language and Thought,Dedre Gentner,"Gentner, Dedre",,"=""0262571633""","=""9780262571630""",0,4.08,MIT Press (MA),Paperback,544,2003,2003,,2009/12/11,"to-read, cognitive-science, ling","to-read (#28), cognitive-science (#12), ling (#7)",to-read,,,,,,,0,,,,,
5369144,The Fat Tail: The Power of Political Knowledge for Strategic Investing,Ian Bremmer,"Bremmer, Ian",Preston Keat,"=""0195328558""","=""9780195328554""",0,3.52,"Oxford University Press, USA",Hardcover,272,2009,2009,,2009/12/11,"to-read, political-science","to-read (#28), political-science (#8)",to-read,,,,,,,0,,,,,
134781,Diffusion of Innovations ,Everett M. Rogers,"Rogers, Everett M.",Nancy Singer Olaguera,"=""0743222091""","=""9780743222099""",0,4.11,Free Press,Paperback,576,2003,1982,,2009/12/11,"to-read, business","to-read (#28), business (#1)",to-read,,,,,,,0,,,,,
1658255,Adapting Minds: Evolutionary Psychology and the Persistent Quest for Human Nature ,David J. Buller,"Buller, David J.",,"=""0262524600""","=""9780262524605""",0,3.67,MIT Press (MA),Paperback,564,2006,2005,,2009/12/11,"to-read, cognitive-science","to-read (#27), cognitive-science (#11)",to-read,,,,,,,0,,,,,
2624680,Mental Spaces in Grammar: Conditional Constructions,Barbara Dancygier,"Dancygier, Barbara",Eve Sweetser,"=""0521844681""","=""9780521844680""",0,5.00,Cambridge University Press,Hardcover,295,2005,2005,,2009/12/11,"to-read, ling, cognitive-science","to-read (#26), ling (#6), cognitive-science (#10)",to-read,,,,,,,0,,,,,
953361,The Human Semantic Potential: Spatial Language and Constrained Connectionism,Terry Regier,"Regier, Terry",,"=""0262181738""","=""9780262181730""",0,3.33,Bradford Book,Hardcover,236,1996,1996,,2009/12/11,"to-read, cognitive-science, ling","to-read (#23), cognitive-science (#9), ling (#5)",to-read,,,,,,,0,,,,,
4845,Code Complete,Steve McConnell,"McConnell, Steve",,"=""0735619670""","=""9780735619678""",0,4.27,Microsoft Press,Paperback,914,2004,1993,,2009/12/11,"to-read, computer-science","to-read (#23), computer-science (#3)",to-read,,,,,,,0,,,,,
4935013,Life Inc.: How the World Became a Corporation and How to Take it Back,Douglas Rushkoff,"Rushkoff, Douglas",,"=""1400066891""","=""9781400066896""",0,3.92,Random House,Hardcover,304,2009,2009,,2009/12/11,"to-read, political-science, economics","to-read (#22), political-science (#7), economics (#12)",to-read,,,,,,,0,,,,,
6176813,"The Cost of Counterterrorism: Power, Politics, and Liberty",Laura K. Donohue,"Donohue, Laura K.",,"=""0521844444""","=""9780521844444""",0,0.0,Cambridge University Press,Hardcover,500,2008,2008,,2009/12/11,"to-read, political-science","to-read (#21), political-science (#6)",to-read,,,,,,,0,,,,,
1192356,You Can't Eat GNP: Economics as if Ecology Mattered,Eric A. Davidson,"Davidson, Eric A.",,"=""0738204870""","=""9780738204871""",0,3.76,Basic Books,Paperback,272,2001,2001,,2009/12/09,"to-read, economics","to-read (#19), economics (#11)",to-read,,,,,,,0,,,,,
